시점,인구[천명],경제활동인구[천명],취업자[천명],실업자[천명],비경제활동인구[천명],경제활동참가율[%],실업률[%],고용률[%]
2000.01 월,8459.3,6271.3,6005.5,265.8,2188,74.1,4.2,71
2000.02 월,8460.2,6279.5,5994.9,284.6,2180.7,74.2,4.5,70.9
2000.03 월,8461.2,6349.3,6081,268.4,2111.9,75,4.2,71.9
2000.04 월,8462.3,6365.7,6142.3,223.4,2096.6,75.2,3.5,72.6
2000.05 월,8464,6410.2,6181.9,228.3,2053.8,75.7,3.6,73
2000.06 월,8465.4,6397.3,6187.5,209.8,2068.1,75.6,3.3,73.1
2000.07 월,8478,6375.1,6177.1,198,2102.9,75.2,3.1,72.9
2000.08 월,8481.8,6323,6107.9,215.1,2158.8,74.5,3.4,72
2000.09 월,8485.4,6425.9,6194.1,231.8,2059.5,75.7,3.6,73
2000.10 월,8488.9,6462.2,6257.8,204.5,2026.6,76.1,3.2,73.7
2000.11 월,8492.2,6454.2,6234.1,220,2038,76,3.4,73.4
2000.12 월,8495.8,6399,6170.1,228.9,2096.8,75.3,3.6,72.6
2001.01 월,8488.4,6303,6067.8,235.2,2185.4,74.3,3.7,71.5
2001.02 월,8491.5,6307.5,6038.8,268.8,2183.9,74.3,4.3,71.1
2001.03 월,8494.5,6350.5,6092.5,258,2144,74.8,4.1,71.7
2001.04 월,8497.4,6419.2,6203.9,215.3,2078.2,75.5,3.4,73
2001.05 월,8500.7,6440.4,6247,193.4,2060.4,75.8,3,73.5
2001.06 월,8504.2,6420.5,6230.7,189.8,2083.7,75.5,3,73.3
2001.07 월,8508.2,6387.5,6197.7,189.7,2120.7,75.1,3,72.8
2001.08 월,8512.5,6342.9,6143,199.9,2169.6,74.5,3.2,72.2
2001.09 월,8516.3,6420.7,6248.2,172.6,2095.6,75.4,2.7,73.4
2001.10 월,8520.3,6445.2,6263,182.2,2075.1,75.6,2.8,73.5
2001.11 월,8524.5,6432.9,6259.3,173.6,2091.6,75.5,2.7,73.4
2001.12 월,8528.3,6403,6225,178.1,2125.3,75.1,2.8,73
2002.01 월,8532.7,6331,6126.4,204.6,2201.7,74.2,3.2,71.8
2002.02 월,8536.8,6347.4,6135.1,212.2,2189.5,74.4,3.3,71.9
2002.03 월,8540.7,6397.3,6195.7,201.6,2143.5,74.9,3.2,72.5
2002.04 월,8544.6,6486.8,6300.8,186,2057.8,75.9,2.9,73.7
2002.05 월,8548.4,6501.4,6315,186.4,2047,76.1,2.9,73.9
2002.06 월,8552.4,6494.8,6316.3,178.5,2057.6,75.9,2.7,73.9
2002.07 월,8555.4,6458.8,6292.2,166.5,2096.6,75.5,2.6,73.5
2002.08 월,8556.9,6403.3,6206.4,196.9,2153.6,74.8,3.1,72.5
2002.09 월,8558.2,6472.9,6306.9,166,2085.4,75.6,2.6,73.7
2002.10 월,8560.1,6479.1,6293.2,185.9,2081,75.7,2.9,73.5
2002.11 월,8561.3,6432.7,6248,184.7,2128.6,75.1,2.9,73
2002.12 월,8562.8,6388.4,6213.5,174.8,2174.5,74.6,2.7,72.6
2003.01 월,8564.8,6384.4,6202.8,181.5,2180.5,74.5,2.8,72.4
2003.02 월,8566.5,6364.7,6177.5,187.2,2201.8,74.3,2.9,72.1
2003.03 월,8568.1,6439.9,6251.4,188.5,2128.2,75.2,2.9,73
2003.04 월,8569.9,6457.5,6266.8,190.6,2112.5,75.4,3,73.1
2003.05 월,8571.9,6485.7,6300,185.8,2086.1,75.7,2.9,73.5
2003.06 월,8573.2,6472.8,6284,188.8,2100.4,75.5,2.9,73.3
2003.07 월,8575.9,6434.7,6247.4,187.3,2141.2,75,2.9,72.8
2003.08 월,8579,6352.2,6157.7,194.6,2226.8,74,3.1,71.8
2003.09 월,8582.2,6417.1,6217.6,199.5,2165,74.8,3.1,72.4
2003.10 월,8585.5,6442.3,6235.5,206.8,2143.2,75,3.2,72.6
2003.11 월,8588.6,6443.2,6249.6,193.6,2145.3,75,3,72.8
2003.12 월,8591.9,6397,6207.7,189.3,2194.9,74.5,3,72.3
2004.01 월,8595.6,6381.9,6186.9,195.1,2213.6,74.2,3.1,72
2004.02 월,8598.8,6428.2,6229,199.2,2170.5,74.8,3.1,72.4
2004.03 월,8602,6471,6281,190,2130.9,75.2,2.9,73
2004.04 월,8605.1,6514.5,6308.5,206,2090.6,75.7,3.2,73.3
2004.05 월,8608.2,6485.3,6303.9,181.4,2123,75.3,2.8,73.2
2004.06 월,8611.7,6500.1,6321.4,178.7,2111.6,75.5,2.7,73.4
2004.07 월,8612.1,6452.8,6246.8,206,2159.3,74.9,3.2,72.5
2004.08 월,8609.1,6396.8,6186.2,210.6,2212.3,74.3,3.3,71.9
2004.09 월,8605.9,6471,6267.7,203.3,2135,75.2,3.1,72.8
2004.10 월,8602.8,6453,6250.2,202.8,2149.8,75,3.1,72.7
2004.11 월,8599.4,6435.4,6239.3,196,2164,74.8,3,72.6
2004.12 월,8595.9,6431.5,6219.9,211.7,2164.4,74.8,3.3,72.4
2005.01 월,8592.5,6366.6,6142,224.5,2225.9,74.1,3.5,71.5
2005.02 월,8589.5,6347.7,6114.6,233.1,2241.9,73.9,3.7,71.2
2005.03 월,8586.3,6409.3,6189.1,220.3,2177,74.6,3.4,72.1
2005.04 월,8583.1,6435.8,6218.4,217.4,2147.3,75,3.4,72.4
2005.05 월,8579.9,6455.1,6257.1,198,2124.8,75.2,3.1,72.9
2005.06 월,8576.9,6430.4,6237.2,193.2,2146.4,75,3,72.7
2005.07 월,8573.6,6384.6,6201.4,183.2,2189,74.5,2.9,72.3
2005.08 월,8570.4,6341,6133.3,207.7,2229.3,74,3.3,71.6
2005.09 월,8567.3,6448.2,6206.6,241.6,2119.1,75.3,3.7,72.4
2005.10 월,8564.1,6487.9,6258.2,229.7,2076.2,75.8,3.5,73.1
2005.11 월,8561,6476.2,6275.7,200.5,2084.7,75.6,3.1,73.3
2005.12 월,8557.5,6452.9,6250.7,202.2,2104.6,75.4,3.1,73
2006.01 월,8553.6,6394.1,6188.2,205.9,2159.4,74.8,3.2,72.3
2006.02 월,8550.4,6389.7,6166.7,223,2160.7,74.7,3.5,72.1
2006.03 월,8547,6455.3,6226.7,228.6,2091.7,75.5,3.5,72.9
2006.04 월,8544.1,6488.2,6304.8,183.4,2055.9,75.9,2.8,73.8
2006.05 월,8541.3,6498.2,6324.7,173.5,2043.1,76.1,2.7,74
2006.06 월,8538.6,6492.3,6307.6,184.7,2046.3,76,2.8,73.9
2006.07 월,8534.8,6448.1,6266.6,181.5,2086.7,75.6,2.8,73.4
2006.08 월,8530.2,6416.9,6216.2,200.7,2113.3,75.2,3.1,72.9
2006.09 월,8525.1,6460.2,6257.2,203,2064.9,75.8,3.1,73.4
2006.10 월,8520.3,6454.6,6266.4,188.2,2065.7,75.8,2.9,73.5
2006.11 월,8514.9,6457.4,6270.7,186.6,2057.6,75.8,2.9,73.6
2006.12 월,8509.8,6395.9,6221.2,174.7,2113.9,75.2,2.7,73.1
2007.01 월,8505.2,6340.7,6121.1,219.6,2164.5,74.6,3.5,72
2007.02 월,8500,6321.2,6104.1,217.1,2178.8,74.4,3.4,71.8
2007.03 월,8495,6404.7,6176.4,228.3,2090.3,75.4,3.6,72.7
2007.04 월,8489.9,6418.7,6198.7,220.1,2071.2,75.6,3.4,73
2007.05 월,8485.4,6397.7,6189.8,207.9,2087.6,75.4,3.2,72.9
2007.06 월,8480.8,6432.7,6233,199.6,2048.2,75.9,3.1,73.5
2007.07 월,8475.8,6396.9,6206.9,189.9,2078.9,75.5,3,73.2
2007.08 월,8470.6,6327.8,6123,204.8,2142.8,74.7,3.2,72.3
2007.09 월,8465.4,6381.9,6194.7,187.3,2083.4,75.4,2.9,73.2
2007.10 월,8460.4,6404.7,6209.5,195.2,2055.7,75.7,3,73.4
2007.11 월,8455.1,6464.5,6282.4,182.1,1990.6,76.5,2.8,74.3
2007.12 월,8449.8,6394.7,6211.4,183.3,2055.2,75.7,2.9,73.5
2008.01 월,8445,6315.5,6117.4,198.1,2129.5,74.8,3.1,72.4
2008.02 월,8439.7,6312.3,6115.6,196.7,2127.4,74.8,3.1,72.5
2008.03 월,8434.2,6358.5,6162.3,196.2,2075.7,75.4,3.1,73.1
2008.04 월,8428.8,6399.9,6206,193.9,2028.9,75.9,3,73.6
2008.05 월,8423.5,6403.8,6202.7,201.1,2019.7,76,3.1,73.6
2008.06 월,8418.2,6394.7,6218.3,176.4,2023.5,76,2.8,73.9
2008.07 월,8410,6325.6,6140.4,185.2,2084.5,75.2,2.9,73
2008.08 월,8398.2,6257.4,6059,198.5,2140.8,74.5,3.2,72.1
2008.09 월,8386.4,6302.8,6097.9,204.8,2083.6,75.2,3.2,72.7
2008.10 월,8374.5,6336.9,6127.4,209.6,2037.5,75.7,3.3,73.2
2008.11 월,8362.9,6313.6,6101.3,212.3,2049.3,75.5,3.4,73
2008.12 월,8351.2,6244.7,6052.9,191.8,2106.5,74.8,3.1,72.5
2009.01 월,8340.7,6169.5,5952.6,217,2171.1,74,3.5,71.4
2009.02 월,8328.6,6127.4,5893.9,233.5,2201.2,73.6,3.8,70.8
2009.03 월,8316.4,6149.7,5905.9,243.8,2166.7,73.9,4,71
2009.04 월,8304.4,6167.2,5914.5,252.7,2137.2,74.3,4.1,71.2
2009.05 월,8292.6,6158.6,5928.3,230.3,2134,74.3,3.7,71.5
2009.06 월,8280.8,6192.5,5956.2,236.3,2088.3,74.8,3.8,71.9
2009.07 월,8272.7,6098.9,5879.4,219.5,2173.8,73.7,3.6,71.1
2009.08 월,8267.9,6068.5,5844,224.5,2199.4,73.4,3.7,70.7
2009.09 월,8262.7,6118.2,5917.9,200.3,2144.6,74,3.3,71.6
2009.10 월,8257.6,6116.6,5916.5,200.1,2141,74.1,3.3,71.6
2009.11 월,8252.7,6140.5,5932.3,208.2,2112.1,74.4,3.4,71.9
2009.12 월,8247.6,6106.8,5901.6,205.2,2140.8,74,3.4,71.6
2010.01 월,8244.8,6094.2,5860,234.2,2150.5,73.9,3.8,71.1
2010.02 월,8239.5,6099.3,5853.8,245.4,2140.2,74,4,71
2010.03 월,8234.4,6132.6,5900.5,232.1,2101.7,74.5,3.8,71.7
2010.04 월,8229.2,6145.4,5910.2,235.2,2083.7,74.7,3.8,71.8
2010.05 월,8224.5,6155.6,5943.3,212.3,2068.9,74.8,3.4,72.3
2010.06 월,8219.5,6159.2,5947.7,211.5,2060.3,74.9,3.4,72.4
2010.07 월,8215.2,6141.7,5930.2,211.5,2073.4,74.8,3.4,72.2
2010.08 월,8210.5,6125.1,5901,224,2085.4,74.6,3.7,71.9
2010.09 월,8205.4,6145.7,5932,213.6,2059.8,74.9,3.5,72.3
2010.10 월,8200.6,6164.7,5955.6,209.1,2035.9,75.2,3.4,72.6
2010.11 월,8196.1,6155.6,5969.6,186,2040.5,75.1,3,72.8
2010.12 월,8192,6134.3,5938,196.3,2057.7,74.9,3.2,72.5
